"Station","Date.UTC.","Amount.mm.","Period.Hrs.","Freq","UTC_date"
"Auckland, North Shore Albany Ews","20100304:0600",0,1,"H",2010-03-04 06:00:00
"Auckland, North Shore Albany Ews","20100305:0600",0,1,"H",2010-03-05 06:00:00
"Auckland, North Shore Albany Ews","20100306:0600",0,1,"H",2010-03-06 06:00:00
"Auckland, North Shore Albany Ews","20100307:0600",0,1,"H",2010-03-07 06:00:00
"Auckland, North Shore Albany Ews","20100308:0600",0,1,"H",2010-03-08 06:00:00
"Auckland, North Shore Albany Ews","20100309:0600",0,1,"H",2010-03-09 06:00:00
"Auckland, North Shore Albany Ews","20100310:0600",0,1,"H",2010-03-10 06:00:00
"Auckland, North Shore Albany Ews","20100311:0600",0.2,1,"H",2010-03-11 06:00:00
"Auckland, North Shore Albany Ews","20100312:0600",0,1,"H",2010-03-12 06:00:00
"Auckland, North Shore Albany Ews","20100313:0600",0,1,"H",2010-03-13 06:00:00
"Auckland, North Shore Albany Ews","20100314:0600",0,1,"H",2010-03-14 06:00:00
"Auckland, North Shore Albany Ews","20100315:0600",0,1,"H",2010-03-15 06:00:00
"Auckland, North Shore Albany Ews","20100316:0600",0,1,"H",2010-03-16 06:00:00
"Auckland, North Shore Albany Ews","20100317:0600",0,1,"H",2010-03-17 06:00:00
"Auckland, North Shore Albany Ews","20100318:0600",0,1,"H",2010-03-18 06:00:00
"Auckland, North Shore Albany Ews","20100319:0600",0,1,"H",2010-03-19 06:00:00
"Auckland, North Shore Albany Ews","20100320:0600",0,1,"H",2010-03-20 06:00:00
"Auckland, North Shore Albany Ews","20100321:0600",0,1,"H",2010-03-21 06:00:00
"Auckland, North Shore Albany Ews","20100322:0600",0,1,"H",2010-03-22 06:00:00
"Auckland, North Shore Albany Ews","20100323:0600",0,1,"H",2010-03-23 06:00:00
"Auckland, North Shore Albany Ews","20100324:0600",0,1,"H",2010-03-24 06:00:00
"Auckland, North Shore Albany Ews","20100325:0600",0,1,"H",2010-03-25 06:00:00
"Auckland, North Shore Albany Ews","20100326:0600",0,1,"H",2010-03-26 06:00:00
"Auckland, North Shore Albany Ews","20100327:0600",0,1,"H",2010-03-27 06:00:00
"Auckland, North Shore Albany Ews","20100328:0600",0,1,"H",2010-03-28 06:00:00
"Auckland, North Shore Albany Ews","20100329:0600",0,1,"H",2010-03-29 06:00:00
"Auckland, North Shore Albany Ews","20100330:0600",0,1,"H",2010-03-30 06:00:00
"Auckland, North Shore Albany Ews","20100331:0600",0,1,"H",2010-03-31 06:00:00
"Auckland, North Shore Albany Ews","20100401:0600",0,1,"H",2010-04-01 06:00:00
"Auckland, North Shore Albany Ews","20100402:0600",0,1,"H",2010-04-02 06:00:00
"Auckland, North Shore Albany Ews","20100403:0600",0,1,"H",2010-04-03 06:00:00
"Auckland, North Shore Albany Ews","20100404:0600",0,1,"H",2010-04-04 06:00:00
"Auckland, North Shore Albany Ews","20100405:0600",0,1,"H",2010-04-05 06:00:00
"Auckland, North Shore Albany Ews","20100406:0600",0,1,"H",2010-04-06 06:00:00
"Auckland, North Shore Albany Ews","20100407:0600",0,1,"H",2010-04-07 06:00:00
"Auckland, North Shore Albany Ews","20100408:0600",0,1,"H",2010-04-08 06:00:00
"Auckland, North Shore Albany Ews","20100409:0600",0,1,"H",2010-04-09 06:00:00
"Auckland, North Shore Albany Ews","20100410:0600",0,1,"H",2010-04-10 06:00:00
"Auckland, North Shore Albany Ews","20100411:0600",0,1,"H",2010-04-11 06:00:00
"Auckland, North Shore Albany Ews","20100412:0600",0,1,"H",2010-04-12 06:00:00
"Auckland, North Shore Albany Ews","20100413:0600",0,1,"H",2010-04-13 06:00:00
"Auckland, North Shore Albany Ews","20100414:0600",0,1,"H",2010-04-14 06:00:00
"Auckland, North Shore Albany Ews","20100415:0600",0,1,"H",2010-04-15 06:00:00
"Auckland, North Shore Albany Ews","20100416:0600",0,1,"H",2010-04-16 06:00:00
"Auckland, North Shore Albany Ews","20100417:0600",0,1,"H",2010-04-17 06:00:00
"Auckland, North Shore Albany Ews","20100418:0600",0,1,"H",2010-04-18 06:00:00
"Auckland, North Shore Albany Ews","20100419:0600",0,1,"H",2010-04-19 06:00:00
"Auckland, North Shore Albany Ews","20100420:0600",0,1,"H",2010-04-20 06:00:00
"Auckland, North Shore Albany Ews","20100421:0600",0,1,"H",2010-04-21 06:00:00
"Auckland, North Shore Albany Ews","20100422:0600",0,1,"H",2010-04-22 06:00:00
"Auckland, North Shore Albany Ews","20100423:0600",0,1,"H",2010-04-23 06:00:00
"Auckland, North Shore Albany Ews","20100424:0600",0,1,"H",2010-04-24 06:00:00
"Auckland, North Shore Albany Ews","20100425:0600",0,1,"H",2010-04-25 06:00:00
"Auckland, North Shore Albany Ews","20100426:0600",0,1,"H",2010-04-26 06:00:00
"Auckland, North Shore Albany Ews","20100427:0600",0.4,1,"H",2010-04-27 06:00:00
"Auckland, North Shore Albany Ews","20100428:0600",0,1,"H",2010-04-28 06:00:00
"Auckland, North Shore Albany Ews","20100429:0600",0,1,"H",2010-04-29 06:00:00
"Auckland, North Shore Albany Ews","20100430:0600",0,1,"H",2010-04-30 06:00:00
"Auckland, North Shore Albany Ews","20100501:0600",0.1,1,"H",2010-05-01 06:00:00
"Auckland, North Shore Albany Ews","20100502:0600",0,1,"H",2010-05-02 06:00:00
"Auckland, North Shore Albany Ews","20100503:0600",0,1,"H",2010-05-03 06:00:00
"Auckland, North Shore Albany Ews","20100504:0600",0,1,"H",2010-05-04 06:00:00
"Auckland, North Shore Albany Ews","20100505:0600",0,1,"H",2010-05-05 06:00:00
